name,style
Danny Abbadi,striker
David Abbott,striker
Hamdy Abdelwahab,grappler
Mansur Abdul-Malik,grappler
Shamil Abdurakhimov,striker
Daichi Abe,striker
Papy Abedi,grappler
Ricardo Abreu,grappler
Klidson Abreu,grappler
Scott Adams,grappler
Juan Adams,striker
Zarrukh Adashev,striker
Israel Adesanya,striker
Sam Adkins,striker
Nick Agallar,grappler
Mariya Agapova,striker
Marcelo Aguiar,grappler
Jessica Aguilar,grappler
Kevin Aguilar,striker
Jesus Aguilar,striker
Christian Aguilera,striker
Nick Aguirre,grappler
Omari Akhmedov,grappler
Yoshihiro Akiyama,grappler
Rostem Akman,grappler
Razak Al-Hassan,grappler
Abdul-Kareem Al-Selwady,grappler
Mostapha Al-Turk,striker
Alatengheili,grappler
Amir Albazi,grappler
John Albert,striker
Junior Albini,grappler
Wes Albritton,grappler
Aleksandra Albu,grappler
Iuri Alcantara,grappler
Ildemar Alcantara,grappler
Alfonso Alcarez,grappler
Gilbert Aldana,grappler
Irene Aldana,striker
Hector Aldana,grappler
Jose Aldo,striker
JJ Aldrich,striker
Irina Alekseeva,grappler
Talita Alencar,grappler
Jim Alers,grappler
John Alessio,striker
Houston Alexander,striker
Lucas Alexander,striker
Marcio Alexandre Junior,striker
Bill Algeo,grappler
Royce Alger,grappler
Sultan Aliev,grappler
Nurullo Aliev,grappler
Ikram Aliskerov,striker
John Allan,grappler
Arnold Allen,grappler
Brendan Allen,grappler
Ben Alloway,striker
Asu Almabayev,grappler
Bekzat Almakhan,grappler
Ricardo Almeida,grappler
Thomas Almeida,striker
Ericka Almeida,grappler
Jailton Almeida,grappler
Lucas Almeida,striker
Cesar Almeida,striker
Sarah Alpar,grappler
Ali AlQaisi,grappler
Victor Altamirano,grappler
Sean Alvarez,grappler
Eddie Alvarez,grappler
Joel Alvarez,striker
Thiago Alves,striker
Amilcar Alves,striker
Warlley Alves,grappler
Rafael Alves,striker
Sam Alvey,striker
Adlan Amagov,grappler
Alen Amedovski,striker
Hyder Amil,grappler
Makwan Amirkhani,grappler
Jaqueline Amorim,grappler
Eryk Anders,grappler
Matt Andersen,grappler
Andy Anderson,grappler
Lowell Anderson,grappler
Corey Anderson,grappler
Megan Anderson,striker
Alex Andrade,grappler
Jessica Andrade,grappler
Viscardi Andrade,grappler
Jermaine Andre,grappler
Dylan Andrews,grappler
Reese Andy,grappler
Collin Anglin,grappler
Chad Anheliger,grappler
Yoji Anjo,striker
Magomed Ankalaev,striker
Gadzhimurad Antigulov,grappler
Azunna Anyanwu,grappler
Shinsho Anzai,grappler
Aoriqileng,grappler
Romie Aram,grappler
Felipe Arantes,striker
Igor Araujo,grappler
Viviane Araujo,grappler
Julio Arce,striker
Alice Ardelean,grappler
Dan Argueta,grappler
Andrei Arlovski,striker
Garrett Armfield,grappler
Austin Arnett,grappler
Akbarh Arreola,grappler
Matt Arroyo,grappler
Antonio Arroyo,striker
Cesar Arzamendia,grappler
Kai Asakura,grappler
Yanal Ashmouz,grappler
Askar Askarov,grappler
Cyril Asker,grappler
Khusein Askhabov,grappler
Scott Askham,grappler
Ben Askren,grappler
Ibo Aslan,striker
Tom Aspinall,grappler
Junior Assuncao,grappler
Raphael Assuncao,grappler
Rich Attonito,grappler
Olivier Aubin-Mercier,grappler
Pat Audinwood,grappler
Marcus Aurelio,grappler
Chris Avila,striker
Julia Avila,striker
Jessin Ayari,striker
Abu Azaitar,grappler
Ottman Azaitar,striker
Hunter Azure,grappler
Niklas Backstrom,grappler
Seth Baczynski,grappler
Ryan Bader,grappler
Izabela Badurek,grappler
Miguel Baeza,striker
Ali Bagautinov,grappler
Mehdi Baghdad,striker
Melsik Baghdasaryan,striker
Siyar Bahadurzada,grappler
Ignacio Bahamondes,striker
Shamar Bailey,grappler
Scott Baker,grappler
Oluwale Bamgbose,striker
Marcin Bandel,striker
Humberto Bandenay,grappler
Tae Hyun Bang,grappler
Shauna Bannon,striker
Antonio Banuelos,grappler
Renan Barao,grappler
Maycee Barber,grappler
Bryan Barberena,striker
Dione Barbosa,grappler
Edson Barboza,striker
Raoni Barcelos,grappler
Daniel Barez,striker
Danny Barlow,striker
Luke Barnatt,striker
Josh Barnett,grappler
Chris Barnett,striker
David Baron,grappler
Phil Baroni,grappler
Dan Barrera,grappler
Carlos Barreto,grappler
Peter Barrett,striker
Marc-Andre Barriault,striker
Alexandre Barros,grappler
Francimar Barroso,grappler
Pat Barry,striker
Dean Barry,grappler
Enrique Barzola,grappler
Javid Basharat,grappler
Farid Basharat,grappler
Austin Bashi,grappler
Stephen Bass,grappler
Shayna Baszler,grappler
Michel Batista,grappler
Bryan Battle,striker
Alan Baudot,striker
Mario Bautista,grappler
Chris Beal,grappler
Ariel Beck,grappler
Johnny Bedford,grappler
Rolando Bedoya,striker
Azamat Bekoev,grappler
Mirsad Bektic,grappler
Diana Belbita,grappler
Alan Belcher,striker
Vitor Belfort,striker
Rodolfo Bellato,grappler
Danilo Belluardo,grappler
Joey Beltran,striker
Marco Beltran,striker
Joseph Benavidez,grappler
Dave Beneteau,striker
Gabriel Benitez,striker
DeAnna Bennett,grappler
Lance Benoist,grappler
Ryan Benoit,striker
Steve Berger,grappler
Keith Berish,grappler
Dennis Bermudez,grappler
Manny Bermudez,grappler
Talita Bernardo,grappler
Dave Berry,grappler
Dieusel Berto,grappler
Allen Berube,grappler
Scott Bessac,striker
Matt Bessette,striker
Arjan Bhullar,grappler
KB Bhullar,striker
Bibulatov Magomed,grappler
David Bielkheden,grappler
Blake Bilder,striker
Anthony Birchak,striker
Michael Bisping,grappler
Amaury Bitetti,striker
Jan Blachowicz,grappler
Jason Black,striker
Brad Blackburn,grappler
Tom Blackledge,grappler
Da'Mon Blackshear,grappler
Erin Blanchfield,grappler
Maximo Blanco,grappler
Curtis Blaydes,grappler
Tereza Bleda,grappler
Byron Bloodworth,striker
Dan Bobish,grappler
Mark Bocek,grappler
Kyle Bochniak,grappler
James Bochnovic,striker
Tim Boetsch,grappler
Galore Bofando,grappler
Roman Bogatov,grappler
Jerry Bohlander,striker
Mandy Bohm,grappler
Gaston Bolanos,grappler
Denys Bondar,grappler
Gabriel Bonfim,grappler
Ismael Bonfim,grappler
Jesse Bongfeldt,grappler
Stephan Bonnar,grappler
Rogerio Bontorin,grappler
Ray Borg,grappler
Kevin Borjas,striker
Caio Borralho,grappler
Viacheslav Borshchev,striker
Tanner Boser,striker
Steve Bosse,striker
Marcus Bossett,striker
Poliana Botelho,striker
Tai Bowden,striker
Melton Bowen,grappler
Brian Bowles,grappler
Roger Bowling,grappler
Kyle Bradley,striker
Paul Bradley,grappler
Sean Brady,grappler
Ebenezer Fontes Braga,grappler
Ramiz Brahimaj,grappler
Joe Brammer,grappler
David Branch,grappler
Diego Brandao,grappler
Bruna Brasil,grappler
Martin Bravo,grappler
Mike Breeden,grappler
Tom Breese,striker
Elves Brener,grappler
Chris Brennan,striker
Charlie Brenneman,grappler
Jason Brilz,grappler
Marcus Brimage,striker
Aaron Brink,grappler
Henry Briones,striker
Joanderson Brito,grappler
Jonathan Brookins,grappler
Will Brooks,grappler
Jarred Brooks,grappler
Rob Broughton,striker
Matt Brown,grappler
Mike Brown,grappler
Todd Brown,striker
Randy Brown,striker
Damien Brown,striker
TJ Brown,grappler
Humberto Brown Morrison,grappler
Travis Browne,grappler
Junie Browning,grappler
Jules Bruchez,grappler
Cody Brundage,grappler
Steve Bruno,grappler
Fernando Bruno,grappler
Derek Brunson,grappler
Josh Bryant,grappler
Robert Bryczek,grappler
Lukasz Brzeski,striker
Justin Buchholz,striker
Joaquin Buckley,grappler
Martin Buday,striker
Dylan Budka,grappler
Mayra Bueno Silva,striker
Paul Buentello,striker
Modestas Bukauskas,striker
Felipe Bunes,grappler
Shane Burgos,striker
Joshua Burkman,grappler
Mads Burnell,grappler
Mikey Burnett,striker
Kevin Burns,striker
Gilbert Burns,grappler
Herbert Burns,grappler
Nah-Shon Burrell,striker
Bubba Bush,grappler
Dakota Bush,grappler
Murilo Bustamante,grappler
Todd Butler,grappler
Jesse Butler,striker
JP Buys,striker
Dennis Buzukja,striker
Charles Byrd,grappler
Steve Byrnes,grappler
Yan Cabral,grappler
Alex Caceres,striker
Vince Cachero,striker
Priscila Cachoeira,striker
Nicolle Caliari,grappler
Cynthia Calvillo,grappler
Frank Camacho,striker
Fabricio Camoes,grappler
Chris Camozzi,striker
Brian Camozzi,striker
Shane Campbell,grappler
Charlie Campbell,grappler
John Campetella,grappler
Wagner Campos,grappler
Will Campuzano,grappler
Aleksa Camur,striker
Chico Camus,striker
Asbel Cancio,grappler
Carlos Candelario,grappler
Luiz Cane,striker
Guido Cannetti,grappler
Jared Cannonier,striker
Steve Cantwell,grappler
Frank Caracci,grappler
Bryan Caraway,grappler
Chris Cariaso,striker
Rafael Carino,grappler
Antonio Carlos Junior,grappler
Spike Carlyle,grappler
Francis Carmont,grappler
Liz Carmouche,grappler
Roan Carneiro,grappler
Ariane Carnelossi,grappler
Luana Carolina,striker
Clayton Carpenter,grappler
Cain Carrizosa,striker
Shonie Carter,grappler
Antonio Carvalho,striker
Shane Carwin,grappler
Johnny Case,grappler
Kevin Casey,striker
Cortney Casey,striker
Dwayne Cason,grappler
John Castaneda,grappler
Gil Castillo,grappler
Danny Castillo,grappler
Nick Catone,grappler
Luke Caudillo,striker
Rafael Cavalcante,striker
Jacqueline Cavalcanti,striker
Magnus Cedenblad,grappler
Yosdenis Cedeno,striker
Henry Cejudo,grappler
Adam Cella,grappler
Katlyn Cerminara,striker
Rafael Cerqueira,striker
Donald Cerrone,striker
Luan Chagas,striker
Edgar Chairez,striker
Ansar Chalangov,striker
Alex Chambers,grappler
Michael Chandler,grappler
Chelsea Chandler,grappler
Donnie Chappell,grappler
Joe Charles,striker
Morgan Charriere,grappler
Ernest Chavez,grappler
Danny Chavez,grappler
Albert Cheng,grappler
Fabio Cherant,striker
Macy Chiasson,grappler
Michael Chiesa,grappler
Giga Chikadze,striker
Khamzat Chimaev,grappler
Sako Chivitchian,grappler
Dooho Choi,grappler
SeungWoo Choi,striker
SeungGuk Choi,grappler
DongHun Choi,grappler
John Cholish,grappler
Ryo Chonan,striker
Will Chope,grappler
Joachim Christensen,striker
Dan Christison,striker
Anthony Christodoulou,striker
Mike Ciesnolevicz,striker
Hannah Cifers,striker
Misha Cirkunov,grappler
Laverne Clark,grappler
Logan Clark,grappler
Heather Clark,striker
Devin Clark,grappler
Jessica-Rose Clark,grappler
Mitch Clarke,striker
Rich Clementi,grappler
Chris Clements,striker
Josh Clopton,grappler
Brian Cobb,grappler
John Cofer,grappler
Felipe Colares,grappler
Mark Coleman,grappler
Clay Collard,grappler
Jake Collier,grappler
Christian Colombo,striker
Wes Combs,striker
Carlos Condit,striker
Chris Condo,grappler
Tristan Connelly,striker
Bob Cook,grappler
Amanda Cooper,grappler
Kit Cope,grappler
Chris Cope,striker
Josh Copeland,striker
Akira Corassani,striker
Daniel Cormier,grappler
Nora Cornolle,striker
Bethe Correia,striker
Wesley Correira,striker
Waldo Cortes-Acosta,striker
Tracy Cortez,grappler
Louis Cosce,grappler
Orion Cosce,grappler
Paulo Costa,striker
Randy Costa,striker
Alessandro Costa,striker
Melquizael Costa,grappler
Patrick Cote,striker
JC Cottrell,grappler
Rashad Coulter,striker
Randy Couture,grappler
Ryan Couture,grappler
Colby Covington,grappler
Hailey Cowan,grappler
Jeff Cox,grappler
Nathan Coy,grappler
Andrew Craig,striker
Paul Craig,grappler
Dan Cramer,striker
Alberto Crane,striker
Tim Credeur,striker
Paul Creighton,grappler
Kevin Croom,striker
Kiefer Crosbie,striker
Allen Crowder,grappler
Daron Cruickshank,grappler
Richard Crunkilton,grappler
Jimmy Crute,grappler
Marcio Cruz,grappler
Dominick Cruz,grappler
Aalon Cruz,striker
Timmy Cuamba,grappler
Jay Cucciniello,grappler
Josh Culibao,striker
Zak Cummings,striker
Patrick Cummins,grappler
Luke Cummo,grappler
AJ Cunningham,striker
Larry Cureton,striker
Jeff Curran,striker
Kailin Curran,grappler
Chris Curtis,striker
Ion Cutelaba,grappler
Henrique da Silva,striker
Ariane da Silva,striker
Alex Da Silva,grappler
Nicolas Dalby,grappler
Paul Daley,striker
Aisling Daly,grappler
Rodrigo Damm,striker
Batgerel Danaa,striker
Cindy Dandois,grappler
Jarjis Danho,striker
Alexandre Dantas,grappler
Mac Danzig,grappler
Beneil Dariush,grappler
Sean Daugherty,grappler
Kyle Daukaus,grappler
Chris Daukaus,striker
Rick Davis,grappler
Marcus Davis,grappler
Phil Davis,grappler
Alexis Davis,grappler
Brandon Davis,striker
Mike Davis,grappler
Hakeem Dawodu,striker
Grant Dawson,grappler
Jason Day,striker
Martin Day,grappler
Yorgan De Castro,striker
Geraldo de Freitas,grappler
Philip De Fries,grappler
Chris de la Rocha,grappler
Montana De La Rosa,grappler
Mark De La Rosa,striker
Mike de la Torre,striker
Rodrigo de Lima,grappler
Edilberto de Oliveira,striker
Jorge de Oliveira,striker
Isabela de Padua,grappler
Gloria de Paula,grappler
Germaine de Randamie,striker
Reinier de Ridder,grappler
Carl Deaton,striker
Tom DeBlass,grappler
Shane del Rosario,grappler
Rolando Delgado,grappler
Jose Delgado,grappler
Jack Della Maddalena,striker
Roland Delorme,grappler
Jon Delos Reyes,grappler
Jason DeLucia,striker
Vanessa Demopoulos,striker
Chris Dempsey,grappler
Nick Denis,grappler
Jason Dent,striker
Mackenzie Dern,striker
Tony DeSouza,grappler
Robelis Despaigne,striker
Edwin DeWees,grappler
Alessio Di Chirico,grappler
Cyrille Diabate,grappler
Marc Diakiese,grappler
Tyler Diamond,grappler
Blood Diamond,striker
Eldo Xavier Dias,grappler
Hacran Dias,grappler
Nick Diaz,grappler
Nate Diaz,grappler
Ozzy Diaz,striker
TJ Dillashaw,grappler
Jhonata Diniz,striker
Russell Doane,grappler
Drew Dober,striker
Shana Dobson,grappler
AJ Dobson,grappler
David Dodd,striker
John Dodson,striker
Joe Doerksen,grappler
Roman Dolidze,grappler
Cameron Dollar,grappler
CB Dollaway,grappler
Cody Donovan,grappler
Houston Dorr,grappler
Rafael Dos Anjos,grappler
Junior Dos Santos,striker
Antonio Dos Santos,striker
Anderson Dos Santos,grappler
Rayanne dos Santos,striker
Felipe dos Santos,striker
Tiago dos Santos e Silva,striker
John Dowdy,grappler
Danny Downes,striker
Derek Downey,grappler
Tomasz Drwal,grappler
Dricus Du Plessis,grappler
Hugo Duarte,grappler
Yuneisy Duben,grappler
Emily Ducote,striker
Viktoriia Dudakova,grappler
Milana Dudieva,grappler
Todd Duffee,striker
Joe Duffy,striker
Alexis Dufresne,grappler
Jessamyn Duke,grappler
Isaac Dulgarian,grappler
Kelly Dullanty,grappler
Sedriques Dumas,grappler
Norma Dumont,grappler
Chris Duncan,grappler
Christian Leroy Duncan,striker
Evan Dunham,grappler
Tom Duquesnoy,striker
Albert Duraev,grappler
Reuben Duran,grappler
Cody Durden,grappler
Luiz Dutra,striker
Merab Dvalishvili,grappler
David Dvorak,striker
Matt Dwyer,striker
Rolando Dy,striker
Ben Earwood,grappler
Cody East,grappler
Marvin Eastman,grappler
Mike Easton,grappler
Brian Ebersole,grappler
Mark Eddiva,grappler
Frankie Edgar,grappler
Abdul-Kerim Edilov,grappler
Johnny Eduardo,striker
Yves Edwards,striker
Justin Edwards,grappler
Leon Edwards,grappler
Te Edwards,grappler
Joselyne Edwards,grappler
Tom Egan,grappler
Stephanie Egger,grappler
Justin Eilers,striker
Jon Olav Einemo,grappler
Per Eklund,grappler
Evan Elder,striker
Billy Elekana,grappler
Darren Elkins,grappler
Jake Ellenberger,grappler
Joe Ellenberger,grappler
Tim Elliott,grappler
Oban Elliott,grappler
Lisa Ellis,grappler
Anna Elmose,striker
Cameron Else,striker
Ramazan Emeev,grappler
Rob Emerson,grappler
Jamall Emmers,grappler
Josh Emmett,striker
Oliver Enkamp,grappler
Ian Entwistle,striker
Andy Enz,striker
Steve Erceg,grappler
Konstantin Erokhin,striker
Julian Erosa,grappler
Jarno Errens,striker
Ivan Erslan,grappler
Cole Escovedo,grappler
Efrain Escudero,grappler
Carla Esparza,grappler
Juan Espino,grappler
Jordan Espinosa,striker
Jodie Esquibel,grappler
Rafael Estevam,grappler
Terry Etim,striker
Fred Ettish,grappler
Sijara Eubanks,grappler
Rashad Evans,grappler
Doug Evans,grappler
Ashlee Evans-Smith,grappler
Dan Evensen,striker
Tonya Evinger,grappler
Movsar Evloev,grappler
Andre Ewell,striker
Jessica Eye,striker
Edward Faaloloto,striker
Urijah Faber,grappler
Melinda Fabian,striker
Bartosz Fabinski,grappler
Jason Fairn,grappler
Zarah Fairn,striker
Rinat Fakhretdinov,grappler
Maiquel Falcao,grappler
Pedro Falcao,grappler
Brodie Farber,grappler
Kalindra Faria,grappler
Kelly Faszholz,striker
Paul Felder,striker
Carlos Felipe,striker
Feng Xiaocan,grappler
Kevin Ferguson,grappler
Tony Ferguson,striker
Josh Ferguson,grappler
CJ Fernandes,grappler
Gabriella Fernandes,striker
Kaue Fernandes,grappler
Alexandre Ferreira,grappler
Cezar Ferreira,grappler
Diego Ferreira,grappler
Brunno Ferreira,grappler
Scott Ferrozzo,striker
Andre Fialho,striker
Drew Fickett,grappler
Scott Fiedler,grappler
Michal Figlak,grappler
Deiveson Figueiredo,grappler
Francisco Figueiredo,grappler
Edwin Figueroa,striker
Jafel Filho,grappler
Andre Fili,grappler
Mirko Filipovic,striker
Torrez Finney,grappler
Luigi Fioravanti,grappler
Nick Fiore,grappler
Manon Fiorot,grappler
Spencer Fisher,striker
Chris Fishgold,grappler
Jon Fitch,grappler
Rafael Fiziev,striker
Colin Fletcher,striker
AJ Fletcher,grappler
Nathan Fletcher,grappler
Jimmy Flick,grappler
Kenny Florian,grappler
Darrius Flowers,grappler
Caros Fodor,grappler
Rob Font,striker
Jesse Forbes,grappler
