,name,rating,rd
1,Jon Jones,2377.4585809335954,161.83230404890404
2,Ilia Topuria,2273.950382741309,142.3266620631214
3,Islam Makhachev,2261.5489092527223,110.75307556962292
4,Shavkat Rakhmonov,2245.424728205631,148.05920651397483
5,Dricus Du Plessis,2238.514183262937,122.8694468315526
6,Alex Pereira,2192.213420888017,122.8680601433164
7,Ciryl Gane,2174.103440819171,157.73676566304965
8,Movsar Evloev,2156.486291098119,133.19747991796018
9,Khamzat Chimaev,2151.6535116451014,132.9507818049667
10,Sean Brady,2149.785160361962,137.1896778082079
