date,red,blue,red_result,blue_result,outcome,round,time,format,r1_red_kd,r1_blue_kd,r1_red_tot_str_lnd,r1_red_tot_str_att,r1_blue_tot_str_lnd,r1_blue_tot_str_att,r1_red_td_lnd,r1_red_td_att,r1_blue_td_lnd,r1_blue_td_att,r1_red_sub_att,r1_blue_sub_att,r1_red_rev,r1_blue_rev,r1_red_ctrl,r1_blue_ctrl,r1_red_sig_str_lnd,r1_red_sig_str_att,r1_blue_sig_str_lnd,r1_blue_sig_str_att,r1_red_head_sig_str_lnd,r1_red_head_sig_str_att,r1_blue_head_sig_str_lnd,r1_blue_head_sig_str_att,r1_red_body_sig_str_lnd,r1_red_body_sig_str_att,r1_blue_body_sig_str_lnd,r1_blue_body_sig_str_att,r1_red_leg_sig_str_lnd,r1_red_leg_sig_str_att,r1_blue_leg_sig_str_lnd,r1_blue_leg_sig_str_att,r1_red_dist_sig_str_lnd,r1_red_dist_sig_str_att,r1_blue_dist_sig_str_lnd,r1_blue_dist_sig_str_att,r1_red_clch_sig_str_lnd,r1_red_clch_sig_str_att,r1_blue_clch_sig_str_lnd,r1_blue_clch_sig_str_att,r1_red_gnd_sig_str_lnd,r1_red_gnd_sig_str_att,r1_blue_gnd_sig_str_lnd,r1_blue_gnd_sig_str_att,r2_red_kd,r2_blue_kd,r2_red_tot_str_lnd,r2_red_tot_str_att,r2_blue_tot_str_lnd,r2_blue_tot_str_att,r2_red_td_lnd,r2_red_td_att,r2_blue_td_lnd,r2_blue_td_att,r2_red_sub_att,r2_blue_sub_att,r2_red_rev,r2_blue_rev,r2_red_ctrl,r2_blue_ctrl,r2_red_sig_str_lnd,r2_red_sig_str_att,r2_blue_sig_str_lnd,r2_blue_sig_str_att,r2_red_head_sig_str_lnd,r2_red_head_sig_str_att,r2_blue_head_sig_str_lnd,r2_blue_head_sig_str_att,r2_red_body_sig_str_lnd,r2_red_body_sig_str_att,r2_blue_body_sig_str_lnd,r2_blue_body_sig_str_att,r2_red_leg_sig_str_lnd,r2_red_leg_sig_str_att,r2_blue_leg_sig_str_lnd,r2_blue_leg_sig_str_att,r2_red_dist_sig_str_lnd,r2_red_dist_sig_str_att,r2_blue_dist_sig_str_lnd,r2_blue_dist_sig_str_att,r2_red_clch_sig_str_lnd,r2_red_clch_sig_str_att,r2_blue_clch_sig_str_lnd,r2_blue_clch_sig_str_att,r2_red_gnd_sig_str_lnd,r2_red_gnd_sig_str_att,r2_blue_gnd_sig_str_lnd,r2_blue_gnd_sig_str_att,r3_red_kd,r3_blue_kd,r3_red_tot_str_lnd,r3_red_tot_str_att,r3_blue_tot_str_lnd,r3_blue_tot_str_att,r3_red_td_lnd,r3_red_td_att,r3_blue_td_lnd,r3_blue_td_att,r3_red_sub_att,r3_blue_sub_att,r3_red_rev,r3_blue_rev,r3_red_ctrl,r3_blue_ctrl,r3_red_sig_str_lnd,r3_red_sig_str_att,r3_blue_sig_str_lnd,r3_blue_sig_str_att,r3_red_head_sig_str_lnd,r3_red_head_sig_str_att,r3_blue_head_sig_str_lnd,r3_blue_head_sig_str_att,r3_red_body_sig_str_lnd,r3_red_body_sig_str_att,r3_blue_body_sig_str_lnd,r3_blue_body_sig_str_att,r3_red_leg_sig_str_lnd,r3_red_leg_sig_str_att,r3_blue_leg_sig_str_lnd,r3_blue_leg_sig_str_att,r3_red_dist_sig_str_lnd,r3_red_dist_sig_str_att,r3_blue_dist_sig_str_lnd,r3_blue_dist_sig_str_att,r3_red_clch_sig_str_lnd,r3_red_clch_sig_str_att,r3_blue_clch_sig_str_lnd,r3_blue_clch_sig_str_att,r3_red_gnd_sig_str_lnd,r3_red_gnd_sig_str_att,r3_blue_gnd_sig_str_lnd,r3_blue_gnd_sig_str_att,r4_red_kd,r4_blue_kd,r4_red_tot_str_lnd,r4_red_tot_str_att,r4_blue_tot_str_lnd,r4_blue_tot_str_att,r4_red_td_lnd,r4_red_td_att,r4_blue_td_lnd,r4_blue_td_att,r4_red_sub_att,r4_blue_sub_att,r4_red_rev,r4_blue_rev,r4_red_ctrl,r4_blue_ctrl,r4_red_sig_str_lnd,r4_red_sig_str_att,r4_blue_sig_str_lnd,r4_blue_sig_str_att,r4_red_head_sig_str_lnd,r4_red_head_sig_str_att,r4_blue_head_sig_str_lnd,r4_blue_head_sig_str_att,r4_red_body_sig_str_lnd,r4_red_body_sig_str_att,r4_blue_body_sig_str_lnd,r4_blue_body_sig_str_att,r4_red_leg_sig_str_lnd,r4_red_leg_sig_str_att,r4_blue_leg_sig_str_lnd,r4_blue_leg_sig_str_att,r4_red_dist_sig_str_lnd,r4_red_dist_sig_str_att,r4_blue_dist_sig_str_lnd,r4_blue_dist_sig_str_att,r4_red_clch_sig_str_lnd,r4_red_clch_sig_str_att,r4_blue_clch_sig_str_lnd,r4_blue_clch_sig_str_att,r4_red_gnd_sig_str_lnd,r4_red_gnd_sig_str_att,r4_blue_gnd_sig_str_lnd,r4_blue_gnd_sig_str_att,r5_red_kd,r5_blue_kd,r5_red_tot_str_lnd,r5_red_tot_str_att,r5_blue_tot_str_lnd,r5_blue_tot_str_att,r5_red_td_lnd,r5_red_td_att,r5_blue_td_lnd,r5_blue_td_att,r5_red_sub_att,r5_blue_sub_att,r5_red_rev,r5_blue_rev,r5_red_ctrl,r5_blue_ctrl,r5_red_sig_str_lnd,r5_red_sig_str_att,r5_blue_sig_str_lnd,r5_blue_sig_str_att,r5_red_head_sig_str_lnd,r5_red_head_sig_str_att,r5_blue_head_sig_str_lnd,r5_blue_head_sig_str_att,r5_red_body_sig_str_lnd,r5_red_body_sig_str_att,r5_blue_body_sig_str_lnd,r5_blue_body_sig_str_att,r5_red_leg_sig_str_lnd,r5_red_leg_sig_str_att,r5_blue_leg_sig_str_lnd,r5_blue_leg_sig_str_att,r5_red_dist_sig_str_lnd,r5_red_dist_sig_str_att,r5_blue_dist_sig_str_lnd,r5_blue_dist_sig_str_att,r5_red_clch_sig_str_lnd,r5_red_clch_sig_str_att,r5_blue_clch_sig_str_lnd,r5_blue_clch_sig_str_att,r5_red_gnd_sig_str_lnd,r5_red_gnd_sig_str_att,r5_blue_gnd_sig_str_lnd,r5_blue_gnd_sig_str_att
29-Mar-25,Manuel Torres,Drew Dober,W,L,KO/TKO,1,1:45,3 Rnd (5-5-5),1,0,23,25,3,9,0,0,0,0,0,0,0,0,0:10,0:00,23,25,3,9,21,23,2,5,2,2,0,3,0,0,1,1,7,9,3,9,0,0,0,0,16,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-25,Edgar Chairez,CJ Vergara,W,L,Submission,1,2:30,3 Rnd (5-5-5),0,0,8,27,6,13,0,0,0,0,1,0,0,0,0:16,0:00,8,27,6,13,8,25,1,2,0,0,0,3,0,2,5,8,7,25,6,13,1,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-25,Jose Daniel Medina,Ateba Gautier,L,W,KO/TKO,1,3:32,3 Rnd (5-5-5),0,1,17,33,28,50,0,0,0,0,0,0,0,0,0:00,0:00,17,33,28,50,6,21,24,43,6,7,3,6,5,5,1,1,17,33,26,48,0,0,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-25,David Martinez,Saimon Oliveira,W,L,KO/TKO,1,4:38,3 Rnd (5-5-5),1,0,28,42,7,24,0,1,0,0,0,0,0,0,0:42,0:00,27,41,7,24,21,34,3,17,1,2,3,4,5,5,1,3,14,25,7,23,5,5,0,1,8,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-25,Ronaldo Rodriguez,Kevin Borjas,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),0,1,10,25,18,32,1,3,0,0,0,0,0,0,0:43,0:00,10,25,17,31,4,16,13,27,2,3,2,2,4,6,2,2,10,25,14,28,0,0,1,1,0,0,2,2,0,0,17,42,23,33,0,2,0,0,0,0,0,0,0:14,0:00,17,42,23,33,7,30,20,30,3,4,2,2,7,8,1,1,16,41,22,31,1,1,1,2,0,0,0,0,0,0,37,84,43,77,0,0,0,0,0,0,0,0,0:00,0:00,37,84,43,77,20,64,39,72,6,9,2,3,11,11,2,2,37,83,42,76,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-25,Raul Rosas Jr.,Vince Morales,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),0,0,15,22,8,12,1,3,1,1,0,0,0,0,3:33,0:36,11,18,0,4,6,12,0,4,4,4,0,0,1,2,0,0,7,14,0,4,0,0,0,0,4,4,0,0,0,0,6,15,17,23,2,3,0,0,0,0,0,0,3:28,0:00,5,14,11,17,3,12,10,16,0,0,1,1,2,2,0,0,5,13,11,17,0,0,0,0,0,1,0,0,0,0,5,9,14,18,1,2,0,0,0,2,0,0,2:37,1:38,4,7,6,10,3,6,5,8,1,1,1,2,0,0,0,0,4,7,5,9,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-25,Christian Rodriguez,Melquizael Costa,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),0,0,12,15,63,73,1,5,0,1,1,0,0,1,2:07,2:12,11,14,22,32,3,5,5,11,8,9,15,19,0,0,2,2,2,3,4,9,9,11,8,12,0,0,10,11,0,0,24,33,71,93,1,4,1,1,0,1,1,1,1:42,2:24,19,27,26,40,8,16,21,32,9,9,2,4,2,2,3,4,10,18,3,11,9,9,7,8,0,0,16,21,0,0,41,65,25,42,4,6,0,0,0,0,0,1,2:59,0:17,34,57,17,33,25,48,13,29,6,6,2,2,3,3,2,2,17,32,12,27,8,11,2,3,9,14,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-25,Brandon Moreno,Steve Erceg,W,L,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),0,0,21,40,25,68,0,0,0,0,0,0,0,0,0:00,0:00,21,40,25,68,14,33,18,57,6,6,1,4,1,1,6,7,21,40,25,68,0,0,0,0,0,0,0,0,0,0,21,46,27,48,0,1,0,0,0,0,0,0,0:00,0:00,21,46,27,48,14,37,20,39,1,3,4,6,6,6,3,3,20,45,26,47,1,1,1,1,0,0,0,0,0,0,10,24,20,50,0,0,0,0,0,0,0,0,0:00,0:00,10,24,20,50,3,15,16,42,4,6,1,3,3,3,3,5,10,24,20,50,0,0,0,0,0,0,0,0,0,0,21,37,26,58,0,3,0,0,0,0,0,0,0:27,0:00,19,35,25,57,15,29,19,49,4,6,4,6,0,0,2,2,18,34,25,57,1,1,0,0,0,0,0,0,0,0,22,35,21,58,1,1,0,0,0,0,0,0,0:58,0:00,18,31,19,56,13,24,17,50,3,4,1,5,2,3,1,1,18,31,19,56,0,0,0,0,0,0,0,0
29-Mar-25,Loopy Godinez,Julia Polastri,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),0,0,26,38,24,36,2,2,0,0,0,0,0,0,3:26,0:00,11,22,14,25,8,19,4,11,1,1,5,9,2,2,5,5,11,22,13,20,0,0,0,0,0,0,1,5,0,0,26,41,25,47,2,3,0,0,0,0,0,0,3:16,0:00,15,27,15,33,12,23,7,21,2,3,3,7,1,1,5,5,13,25,11,26,0,0,0,0,2,2,4,7,0,0,62,105,68,103,1,6,0,0,0,0,0,0,0:48,0:19,58,101,58,93,51,93,47,80,6,7,6,7,1,1,5,6,51,94,54,89,7,7,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-25,Rafa Garcia,Vinc Pichel,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),0,0,19,33,21,46,1,2,0,0,0,0,0,0,1:06,0:00,12,24,13,38,7,17,7,30,3,4,2,3,2,3,4,5,11,23,12,36,1,1,0,1,0,0,1,1,0,0,24,52,32,70,0,2,0,1,0,0,0,0,0:23,0:00,21,49,32,70,16,44,12,43,4,4,13,19,1,1,7,8,21,49,29,67,0,0,3,3,0,0,0,0,0,0,33,51,35,75,1,2,0,2,0,0,0,0,0:46,0:01,31,47,34,74,26,41,13,43,5,6,12,21,0,0,9,10,27,42,33,71,3,4,1,3,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
