red,blue,red_result,outcome,cleaned_format,max_time,total_fight_time,avg_red_kd,avg_blue_kd,avg_red_tot_str_lnd,avg_blue_tot_str_lnd,avg_red_tot_str_att,avg_blue_tot_str_att,avg_red_td_lnd,avg_blue_td_lnd,avg_red_td_att,avg_blue_td_att,avg_red_sub_att,avg_blue_sub_att,avg_red_rev,avg_blue_rev,avg_red_ctrl,avg_blue_ctrl,avg_red_sig_str_lnd,avg_blue_sig_str_lnd,avg_red_sig_str_att,avg_blue_sig_str_att,avg_red_head_sig_str_lnd,avg_blue_head_sig_str_lnd,avg_red_head_sig_str_att,avg_blue_head_sig_str_att,avg_red_body_sig_str_lnd,avg_blue_body_sig_str_lnd,avg_red_body_sig_str_att,avg_blue_body_sig_str_att,avg_red_leg_sig_str_lnd,avg_blue_leg_sig_str_lnd,avg_red_leg_sig_str_att,avg_blue_leg_sig_str_att,avg_red_dist_sig_str_lnd,avg_blue_dist_sig_str_lnd,avg_red_dist_sig_str_att,avg_blue_dist_sig_str_att,avg_red_clch_sig_str_lnd,avg_blue_clch_sig_str_lnd,avg_red_clch_sig_str_att,avg_blue_clch_sig_str_att,avg_red_gnd_sig_str_lnd,avg_blue_gnd_sig_str_lnd,avg_red_gnd_sig_str_att,avg_blue_gnd_sig_str_att,red_tot_str_per,blue_tot_str_per,red_td_per,blue_td_per,red_sig_str_per,blue_sig_str_per,red_head_sig_str_per,blue_head_sig_str_per,red_body_sig_str_per,blue_body_sig_str_per,red_leg_sig_str_per,blue_leg_sig_str_per,red_dist_sig_str_per,blue_dist_sig_str_per,red_clch_sig_str_per,blue_clch_sig_str_per,red_gnd_sig_str_per,blue_gnd_sig_str_per
Manuel Torres,Drew Dober,0,0,3 Rnd + 0OT (5-5-5),15,705,0.425531914893617,0.0,9.787234042553191,1.276595744680851,10.638297872340425,3.829787234042553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.787234042553191,1.276595744680851,10.638297872340425,3.829787234042553,8.936170212765957,0.851063829787234,9.787234042553191,2.127659574468085,0.851063829787234,0.0,0.851063829787234,1.276595744680851,0.0,0.425531914893617,0.0,0.425531914893617,2.978723404255319,1.276595744680851,3.829787234042553,3.829787234042553,0.0,0.0,0.0,0.0,6.808510638297872,0.0,6.808510638297872,0.0,0.92,0.3333333333333333,0.0,0.0,0.92,0.3333333333333333,0.9130434782608695,0.4,1.0,0.0,0.0,1.0,0.7777777777777778,0.3333333333333333,0.0,0.0,1.0,0.0
Edgar Chairez,CJ Vergara,0,1,3 Rnd + 0OT (5-5-5),15,750,0.0,0.0,3.2,2.4,10.8,5.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3.2,2.4,10.8,5.2,3.2,0.4,10.0,0.8,0.0,0.0,0.0,1.2,0.0,2.0,0.8,3.2,2.8,2.4,10.0,5.2,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.2962962962962963,0.46153846153846156,0.0,0.0,0.2962962962962963,0.46153846153846156,0.32,0.5,0.0,0.0,0.0,0.625,0.28,0.46153846153846156,1.0,0.0,0.0,0.0
Jose Daniel Medina,Ateba Gautier,1,0,3 Rnd + 0OT (5-5-5),15,812,0.0,0.3694581280788177,6.280788177339902,10.344827586206897,12.192118226600986,18.472906403940886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.280788177339902,10.344827586206897,12.192118226600986,18.472906403940886,2.2167487684729066,8.866995073891626,7.758620689655173,15.886699507389164,2.2167487684729066,1.1083743842364533,2.586206896551724,2.2167487684729066,1.8472906403940887,0.3694581280788177,1.8472906403940887,0.3694581280788177,6.280788177339902,9.605911330049262,12.192118226600986,17.733990147783253,0.0,0.7389162561576355,0.0,0.7389162561576355,0.0,0.0,0.0,0.0,0.5151515151515151,0.56,0.0,0.0,0.5151515151515151,0.56,0.2857142857142857,0.5581395348837209,0.8571428571428571,0.5,1.0,1.0,0.5151515151515151,0.5416666666666666,0.0,1.0,0.0,0.0
David Martinez,Saimon Oliveira,0,0,3 Rnd + 0OT (5-5-5),15,878,0.3416856492027335,0.0,9.567198177676538,2.3917995444191344,14.350797266514807,8.200455580865603,0.0,0.0,0.3416856492027335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.225512528473804,2.3917995444191344,14.009111617312072,8.200455580865603,7.175398633257403,1.0250569476082003,11.617312072892938,5.808656036446469,0.3416856492027335,1.0250569476082003,0.683371298405467,1.366742596810934,1.7084282460136673,0.3416856492027335,1.7084282460136673,1.0250569476082003,4.783599088838269,2.3917995444191344,8.542141230068337,7.85876993166287,1.7084282460136673,0.0,1.7084282460136673,0.3416856492027335,2.733485193621868,0.0,3.7585421412300684,0.0,0.6666666666666666,0.2916666666666667,0.0,0.0,0.6585365853658537,0.2916666666666667,0.6176470588235294,0.17647058823529413,0.5,0.75,1.0,0.3333333333333333,0.56,0.30434782608695654,1.0,0.0,0.7272727272727273,0.0
Ronaldo Rodriguez,Kevin Borjas,1,2,3 Rnd + 0OT (5-5-5),15,900,0.0,0.3333333333333333,21.333333333333332,28.0,50.333333333333336,47.333333333333336,0.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.333333333333332,27.666666666666668,50.333333333333336,47.0,10.333333333333334,24.0,36.666666666666664,43.0,3.6666666666666665,2.0,5.333333333333333,2.3333333333333335,7.333333333333333,1.6666666666666667,8.333333333333334,1.6666666666666667,21.0,26.0,49.666666666666664,45.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.423841059602649,0.5915492957746479,0.2,0.0,0.423841059602649,0.5886524822695035,0.2818181818181818,0.5581395348837209,0.6875,0.8571428571428571,0.88,1.0,0.4228187919463087,0.5777777777777777,0.5,0.75,0.0,1.0
Raul Rosas Jr.,Vince Morales,0,2,3 Rnd + 0OT (5-5-5),15,900,0.0,0.0,8.666666666666666,13.0,15.333333333333334,17.666666666666668,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,6.666666666666667,5.666666666666667,13.0,10.333333333333334,4.0,5.0,10.0,9.333333333333334,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,1.0,0.0,1.3333333333333333,0.0,5.333333333333333,5.333333333333333,11.333333333333334,10.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.5652173913043478,0.7358490566037735,0.5,1.0,0.5128205128205128,0.5483870967741935,0.4,0.5357142857142857,1.0,0.6666666666666666,0.75,0.0,0.47058823529411764,0.5333333333333333,0.0,0.0,0.8,1.0
Christian Rodriguez,Melquizael Costa,1,2,3 Rnd + 0OT (5-5-5),15,900,0.0,0.0,25.666666666666668,53.0,37.666666666666664,69.33333333333333,2.0,0.3333333333333333,5.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,21.333333333333332,21.666666666666668,32.666666666666664,35.0,12.0,13.0,23.0,24.0,7.666666666666667,6.333333333333333,8.0,8.333333333333334,1.6666666666666667,2.3333333333333335,1.6666666666666667,2.6666666666666665,9.666666666666666,6.333333333333333,17.666666666666668,15.666666666666666,8.666666666666666,5.666666666666667,10.333333333333334,7.666666666666667,3.0,9.666666666666666,4.666666666666667,11.666666666666666,0.6814159292035398,0.7644230769230769,0.4,0.5,0.6530612244897959,0.6190476190476191,0.5217391304347826,0.5416666666666666,0.9583333333333334,0.76,1.0,0.875,0.5471698113207547,0.40425531914893614,0.8387096774193549,0.7391304347826086,0.6428571428571429,0.8285714285714286
Brandon Moreno,Steve Erceg,0,2,5 Rnd + 0OT (5-5-5-5-5),25,1500,0.0,0.0,19.0,23.8,36.4,56.4,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,23.2,35.2,55.8,11.8,18.0,27.6,47.4,3.6,2.2,5.0,4.8,2.4,3.0,2.6,3.6,17.4,23.0,34.8,55.6,0.4,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.521978021978022,0.4219858156028369,0.2,0.0,0.5056818181818182,0.4157706093189964,0.427536231884058,0.379746835443038,0.72,0.4583333333333333,0.9230769230769231,0.8333333333333334,0.5,0.4136690647482014,1.0,1.0,0.0,0.0
Loopy Godinez,Julia Polastri,0,2,3 Rnd + 0OT (5-5-5),15,900,0.0,0.0,38.0,39.0,61.333333333333336,62.0,1.6666666666666667,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,50.0,50.333333333333336,23.666666666666668,19.333333333333332,45.0,37.333333333333336,3.0,4.666666666666667,3.6666666666666665,7.666666666666667,1.3333333333333333,5.0,1.3333333333333333,5.333333333333333,25.0,26.0,47.0,45.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,4.0,0.6195652173913043,0.6290322580645161,0.45454545454545453,0.0,0.56,0.5761589403973509,0.5259259259259259,0.5178571428571429,0.8181818181818182,0.6086956521739131,1.0,0.9375,0.5319148936170213,0.5777777777777777,1.0,1.0,1.0,0.4166666666666667
Rafa Garcia,Vinc Pichel,0,2,3 Rnd + 0OT (5-5-5),15,900,0.0,0.0,25.333333333333332,29.333333333333332,45.333333333333336,63.666666666666664,0.6666666666666666,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.333333333333332,26.333333333333332,40.0,60.666666666666664,16.333333333333332,10.666666666666666,34.0,38.666666666666664,4.0,9.0,4.666666666666667,14.333333333333334,1.0,6.666666666666667,1.3333333333333333,7.666666666666667,19.666666666666668,24.666666666666668,38.0,58.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5588235294117647,0.4607329842931937,0.3333333333333333,0.0,0.5333333333333333,0.4340659340659341,0.4803921568627451,0.27586206896551724,0.8571428571428571,0.627906976744186,0.75,0.8695652173913043,0.5175438596491229,0.42528735632183906,0.8,0.5714285714285714,1.0,1.0
