name,height,reach,stance,wins,losses,draws
Tom Aaron,70,71,Orthodox,5,3,0
Danny Abbadi,71,71,Orthodox,4,6,0
Nariman Abbasov,68,66,Orthodox,28,4,0
David Abbott,72,72,Switch,10,15,0
Hamdy Abdelwahab,74,72,Southpaw,6,0,0
Mansur Abdul-Malik,74,79,Orthodox,8,0,0
Shamil Abdurakhimov,75,76,Orthodox,20,8,0
Hiroyuki Abe,66,66,Orthodox,8,15,3
Daichi Abe,71,71,Orthodox,6,2,0
Papy Abedi,71,71,Southpaw,10,4,0
Ricardo Abreu,71,71,Orthodox,5,1,0
Klidson Abreu,72,74,Orthodox,15,4,0
Daniel Acacio,68,68,Orthodox,30,18,0
John Adajar,69,75,Orthodox,6,2,0
Scott Adams,72,72,Southpaw,8,1,0
Juan Adams,77,80,Orthodox,5,3,0
Anthony Adams,73,76,Orthodox,8,2,0
Zarrukh Adashev,65,65,Southpaw,4,4,0
Israel Adesanya,76,80,Switch,24,5,0
Sam Adkins,75,75,Orthodox,7,20,2
Mohamed Ado,71,76,Switch,5,1,0
Nick Agallar,68,68,Orthodox,24,6,0
Mariya Agapova,66,68,Southpaw,10,5,0
Kantharaj Agasa,67,68,Orthodox,12,3,0
Marcelo Aguiar,70,70,Orthodox,2,3,1
Fabio Aguiar,72,72,Orthodox,17,1,0
Edwin Aguilar,70,70,Orthodox,26,19,0
Jessica Aguilar,63,63,Orthodox,20,8,0
Kevin Aguilar,67,73,Orthodox,17,5,0
Jesus Aguilar,64,62,Orthodox,11,3,0
Christian Aguilera,69,72,Switch,14,8,0
Nick Aguirre,69,74,Southpaw,7,2,0
Mike Aina,69,69,Orthodox,14,6,1
Ashiek Ajim,68,71,Switch,6,2,0
Hitomi Akano,64,64,Southpaw,18,10,0
Omari Akhmedov,72,73,Orthodox,21,6,1
Yoshihiro Akiyama,70,75,Orthodox,14,6,0
Rostem Akman,70,72,Switch,6,2,0
Razak Al-Hassan,74,74,Orthodox,13,5,0
Abdul-Kareem Al-Selwady,68,69,Orthodox,15,4,0
Mostapha Al-Turk,74,77,Orthodox,6,6,0
Herdem Alacabek,74,75,Orthodox,5,1,0
Javi Alanis,66,66,Orthodox,0,4,0
Alatengheili,65,66,Orthodox,17,9,2
Amir Albazi,65,68,Orthodox,17,2,0
Brett Albee,74,74,Orthodox,3,2,0
John Albert,68,68,Orthodox,6,5,0
