name,height,reach,stance
Tom Aaron,70,71,Orthodox
Danny Abbadi,71,71,Orthodox
Nariman Abbasov,68,66,Orthodox
David Abbott,72,72,Switch
Hamdy Abdelwahab,74,72,Southpaw
Mansur Abdul-Malik,74,79,Orthodox
Shamil Abdurakhimov,75,76,Orthodox
Hiroyuki Abe,66,66,Orthodox
Daichi Abe,71,71,Orthodox
Papy Abedi,71,71,Southpaw
Ricardo Abreu,71,71,Orthodox
Klidson Abreu,72,74,Orthodox
Daniel Acacio,68,68,Orthodox
John Adajar,69,75,Orthodox
Scott Adams,72,72,Southpaw
Juan Adams,77,80,Orthodox
Anthony Adams,73,76,Orthodox
Zarrukh Adashev,65,65,Southpaw
Israel Adesanya,76,80,Switch
Sam Adkins,75,75,Orthodox
Mohamed Ado,71,76,Switch
Nick Agallar,68,68,Orthodox
Mariya Agapova,66,68,Southpaw
Kantharaj Agasa,67,68,Orthodox
Marcelo Aguiar,70,70,Orthodox
Fabio Aguiar,72,72,Orthodox
Edwin Aguilar,70,70,Orthodox
Jessica Aguilar,63,63,Orthodox
Kevin Aguilar,67,73,Orthodox
Jesus Aguilar,64,62,Orthodox
Christian Aguilera,69,72,Switch
Nick Aguirre,69,74,Southpaw
Agulali,66,67,Orthodox
Ahejiang Ailinuer,68,70,Orthodox
Mike Aina,69,69,Orthodox
Ashiek Ajim,68,71,Switch
Hitomi Akano,64,64,Southpaw
Omari Akhmedov,72,73,Orthodox
Yoshihiro Akiyama,70,75,Orthodox
Rostem Akman,70,72,Switch
Razak Al-Hassan,74,74,Orthodox
Abdul-Kareem Al-Selwady,68,69,Orthodox
Mostapha Al-Turk,74,77,Orthodox
Herdem Alacabek,74,75,Orthodox
Javi Alanis,66,66,Orthodox
Alatengheili,65,66,Orthodox
Amir Albazi,65,68,Orthodox
Brett Albee,74,74,Orthodox
John Albert,68,68,Orthodox
Junior Albini,75,74,Orthodox
Wes Albritton,70,70,Orthodox
Aleksandra Albu,62,63,Orthodox
Israel Albuquerque,72,73,Orthodox
Juan Alcain,70,71,Orthodox
Iuri Alcantara,69,71,Southpaw
Ildemar Alcantara,74,78,Orthodox
Alfonso Alcarez,63,63,Orthodox
Gilbert Aldana,73,73,Orthodox
Irene Aldana,69,68,Orthodox
Hector Aldana,71,72,Orthodox
Jose Alday,67,68,Orthodox
Jose Aldo,67,70,Orthodox
JJ Aldrich,65,67,Southpaw
Irina Alekseeva,68,67,Orthodox
Talita Alencar,61,58,Orthodox
Jim Alers,69,71,Orthodox
John Alessio,70,72,Orthodox
Houston Alexander,72,72,Orthodox
Kenneth Alexander,69,69,Orthodox
Lucas Alexander,71,73,Orthodox
Marcio Alexandre Junior,72,75,Southpaw
Olaf Alfonso,74,74,Orthodox
Pablo Alfonso,68,68,Orthodox
Levi Alford,70,71,Orthodox
Bill Algeo,72,73,Switch
Royce Alger,70,70,Orthodox
Amir Aliakbari,75,75,Orthodox
Sultan Aliev,71,74,Orthodox
Nurullo Aliev,70,72,Orthodox
Ikram Aliskerov,72,76,Southpaw
Leon Aliu,72,74,Orthodox
John Allan,73,75,Orthodox
George Allen,74,74,Open Stance
Arnold Allen,68,70,Southpaw
Brendan Allen,74,75,Orthodox
Daniel Allen,72,75,Southpaw
Ben Alloway,71,76,Orthodox
Asu Almabayev,64,65,Orthodox
Bekzat Almakhan,67,68,Orthodox
John Dave Almanza,67,67,Southpaw
Ricardo Almeida,72,74,Orthodox
Magno Almeida,72,72,Orthodox
Thomas Almeida,67,70,Southpaw
Ericka Almeida,66,66,Orthodox
Estefani Almeida,64,64,Orthodox
Jailton Almeida,75,79,Orthodox
Lucas Almeida,71,71,Orthodox
Cesar Almeida,73,74,Orthodox
Mauricio Alonso,74,74,Orthodox
Sarah Alpar,64,63,Southpaw
Ali AlQaisi,66,68,Orthodox
Rico Altamirano,70,70,Orthodox
Victor Altamirano,68,70,Switch
Mike Altman,70,70,Orthodox
Patricia Alujas,64,64,Orthodox
Sean Alvarez,72,72,Orthodox
Eddie Alvarez,69,69,Orthodox
Jaime Alvarez,68,69,Orthodox
Joel Alvarez,75,77,Orthodox
Thiago Alves,69,70,Orthodox
Anthony Alves,70,71,Orthodox
Amilcar Alves,72,72,Southpaw
Warlley Alves,71,72,Orthodox
Rafael Alves,68,68,Orthodox
Sam Alvey,74,75,Southpaw
Andre Amado,72,72,Orthodox
Adlan Amagov,74,76,Orthodox
Maiara Amanajas dos Santos,65,65,Southpaw
Chris Amarante,72,73,Orthodox
Jimmy Ambriz,74,74,Southpaw
JJ Ambrose,70,70,Orthodox
Alen Amedovski,70,74,Orthodox
Hyder Amil,69,70,Switch
Hamid Amiri,68,70,Orthodox
Makwan Amirkhani,70,72,Southpaw
Jaqueline Amorim,63,68,Orthodox
Bertrand Amoussou,68,68,Orthodox
Karl Amoussou,71,71,Orthodox
Eryk Anders,73,75,Southpaw
Matt Andersen,74,74,Southpaw
Andy Anderson,66,66,Orthodox
Lowell Anderson,66,66,Orthodox
Corey Anderson,75,79,Orthodox
Derek Anderson,72,72,Orthodox
Megan Anderson,72,72,Orthodox
Liam Anderson,75,75,Orthodox
Tatsuya Ando,64,68,Southpaw
Alex Andrade,71,71,Orthodox
Jessica Andrade,61,62,Orthodox
Viscardi Andrade,71,75,Orthodox
Jermaine Andre,67,67,Orthodox
Juan Andres Luna,67,72,Orthodox
Dylan Andrews,73,74,Switch
Reese Andy,72,72,Orthodox
Angga,67,68,Orthodox
Julius Anglickas,75,75,Orthodox
Collin Anglin,69,71,Orthodox
Chad Anheliger,66,64,Orthodox
Yoji Anjo,71,71,Orthodox
Magomed Ankalaev,75,75,Orthodox
Gadzhimurad Antigulov,71,70,Orthodox
Adam Antolin,65,63,Orthodox
Angelo Antonio,74,74,Orthodox
Vanilto Antunes,72,72,Orthodox
Azunna Anyanwu,73,73,Orthodox
Shinsho Anzai,67,70,Orthodox
Jin Aoi,68,70,Orthodox
Shinya Aoki,71,71,Southpaw
Aoriqileng,67,69,Orthodox
Josh Appelt,70,70,Southpaw
Erik Apple,72,72,Orthodox
Kenji Arai,70,70,Southpaw
Romie Aram,70,70,Orthodox
Felipe Arantes,68,73,Orthodox
Igor Araujo,73,77,Orthodox
Viviane Araujo,64,68,Orthodox
Julio Arce,67,70,Southpaw
Art Arciniega,68,68,Orthodox
Alice Ardelean,63,62,Orthodox
