name,height,reach,stance,rating,rd,volatility,tot_str_pct,td_pct,sig_str_pct,head_sig_str_pct,body_sig_str_pct,leg_sig_str_pct,dist_sig_str_pct,clch_sig_str_pct,gnd_sig_str_pct,avg_kd,avg_tot_str_lnd,avg_td_lnd,avg_sub_att,avg_rev,avg_ctrl,avg_sig_str_lnd,avg_head_sig_str_lnd,avg_body_sig_str_lnd,avg_leg_sig_str_lnd,avg_dist_sig_str_lnd,avg_clch_sig_str_lnd,avg_gnd_sig_str_lnd
Danny Abbadi,71,71,Orthodox,1231.3288703082085,249.74772150022687,0.0599990629285378,0.4783236994219653,0.0,0.35844748858447484,0.30383211678832117,0.8888888888888888,0.0,0.2680327868852459,0.55,0.375,0.0,16.166666666666664,0.0,0.0,0.0,18.333333333333332,10.833333333333334,9.166666666666666,1.6666666666666667,0.0,7.333333333333333,3.0,0.5
David Abbott,72,72,Switch,1556.7006315620122,110.83546267347175,0.0599989911312621,0.5999851184907559,0.3287037037037037,0.47585257847196494,0.4491301004796457,0.2777777777777778,0.0,0.3168911297712467,0.3490342264852069,0.37958032870313574,0.2222222222222222,14.61111111111111,0.4722222222222222,0.2222222222222222,0.05555555555555555,6.833333333333333,7.722222222222222,7.305555555555555,0.4166666666666667,0.0,2.4166666666666665,2.388888888888889,2.9166666666666665
Hamdy Abdelwahab,74,72,Southpaw,1707.1206517433702,271.758445846936,0.05999984127155054,0.5048543689320388,1.0,0.5057471264367817,0.38461538461538464,0.75,0.8888888888888888,0.49382716049382713,0.0,0.6666666666666666,0.0,17.333333333333332,0.3333333333333333,0.0,0.0,19.0,14.666666666666666,8.333333333333334,1.0,5.333333333333333,13.333333333333334,0.0,1.3333333333333333
Mansur Abdul-Malik,74,79,Orthodox,1721.502388744771,236.3796503284311,0.05999849678231856,0.5628991060025543,0.16666666666666666,0.5528322440087146,0.539661147477859,1.0,0.0,0.35833333333333334,0.8157894736842105,0.663963963963964,0.5,23.5,0.25,0.0,0.0,52.25,21.75,20.5,1.25,0.0,4.0,4.0,13.75
Shamil Abdurakhimov,75,76,Orthodox,1669.649811394791,126.1810571401809,0.05999882393812526,0.5515902681884227,0.08987603305785125,0.4945238252027045,0.4165808962204843,0.47974411951684676,0.590401097219279,0.4488069225884963,0.3838698718133308,0.2492784992784993,0.13636363636363635,14.09848484848485,0.18181818181818182,0.022727272727272728,0.0,20.87878787878788,10.386363636363637,5.946969696969696,1.9318181818181819,2.507575757575758,7.810606060606061,1.946969696969697,0.6287878787878788
Daichi Abe,71,71,Orthodox,1444.96939501672,201.48842072479565,0.06000026032075511,0.33762577512577513,0.3333333333333333,0.3349637133071128,0.2497358382951226,0.41269841269841273,0.8051282051282053,0.3107363554884664,0.3904761904761904,0.5555555555555555,0.1111111111111111,19.444444444444446,0.1111111111111111,0.0,0.0,2.4444444444444446,19.0,11.333333333333334,1.3333333333333333,6.333333333333333,16.22222222222222,1.222222222222222,1.5555555555555554
Papy Abedi,71,71,Southpaw,1361.2275306390056,207.5786109000138,0.059998218542618144,0.584256754843095,0.39999999999999997,0.5292580409356725,0.42497396756469336,0.8132478632478632,0.6833333333333333,0.4060267857142857,0.5735294117647058,0.61,0.0,16.5,0.8333333333333333,0.25,0.0,92.83333333333333,12.25,6.166666666666667,4.833333333333333,1.25,5.5,4.0,2.75
Ricardo Abreu,71,71,Orthodox,1410.6689872413328,264.89131526399734,0.06000248405899239,0.39196955576265924,0.21428571428571427,0.31899547570651104,0.28486717267552186,0.7142857142857143,0.75,0.2633390705679862,0.5833333333333333,0.375,0.5,22.25,0.5,0.25,0.0,49.75,16.083333333333332,13.083333333333332,2.0833333333333335,0.9166666666666666,11.333333333333332,2.5,2.25
Klidson Abreu,72,74,Orthodox,1506.3280129266814,229.69056867771306,0.06000697727557405,0.48784259636584015,0.27777777777777773,0.3952395114047887,0.2521341463414634,0.4358974358974359,0.9013888888888889,0.3738487450590961,0.6759259259259259,0.0,0.0,15.555555555555555,0.2222222222222222,0.0,0.0,20.666666666666668,10.111111111111112,4.222222222222222,2.111111111111111,3.777777777777778,9.11111111111111,1.0,0.0
Scott Adams,72,72,Southpaw,1662.3108939062977,290.31896371798047,0.05999967537233814,0.9090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,4.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
