fighter,finals,qf,sf,win_tourney
Max Holloway,0.514,0.5816,0.8576,0.2962
Benoit Saint Denis,0.407,0.7263,0.9038,0.2102
Paddy Pimblett,0.2756,0.5007,0.5753,0.1496
Grant Dawson,0.1377,0.2649,0.4247,0.0776
Islam Makhachev,0.1943,0.303,0.3368,0.0643
Justin Gaethje,0.1078,0.1862,0.9482,0.0536
Arman Tsarukyan,0.0858,0.215,0.926,0.0334
Beneil Dariush,0.036,0.1983,0.9144,0.0262
Dan Hooker,0.0651,0.0892,0.1424,0.0241
Michael Chandler,0.0311,0.0423,0.0962,0.0214
Dustin Poirier,0.0246,0.0361,0.0856,0.0176
Rafael Fiziev,0.0791,0.7811,0.821,0.0173
Renato Moicano,0.013,0.0157,0.0518,0.0029
Charles Oliveira,0.0139,0.017,0.179,0.0027
Mateusz Gamrot,0.0128,0.0262,0.6632,0.0025
Ignacio Bahamondes,0.0022,0.0164,0.074,0.0004
